// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020104	
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020105	
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020106	
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020107	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020108	
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020109	
LangTagTextPaymentAddressArea	dan	landezone (faktura)	Date20041206	
LangTagTextShippingAddressArea	dan	leveringsområde	Date20041206	
LangTagInfoPage	dan	Info	date20041207	
LangTagInfoTitleNews	dan	Nyheder	date20041207	
LangTagSearchAllWordsAnd	dan	Alle ord (AND)	date20041207	
LangTagSearchOneWordOr	dan	Ét ord (OR)	date20041207	
LangTagFieldBuy2Message	dan	Din meddelelse	date20041209	
LangTagFieldEmailFormat	dan	Email format	date20041209	
LangTagFieldTellMessage	dan	Din meddelelse	date20041209	
LangTagFNFieldBuy2Message	dan	Meddelelse	date20041209	
LangTagFNFieldEmailFormat	dan	EmailFormat	date20041209	
LangTagFNFieldShippingFormToAddress	dan	Modtagerens_titel	date20041209	
LangTagMr	dan	Hr.	date20041209	
LangTagMrs	dan	Fru	date20041209	
LangTagErrorMissingRootPathFile	dan	Web-server-error - missing root path file!!	date20041210	
LangTagFieldPID	dan	Ordrenr.	date20041213	
LangTagFNFieldCashDiscountPercent	dan	Kontantrabat	date20041213	
LangTagFNFieldDelivery	dan	Leveringsmetode	date20041213	
LangTagFNFieldLocDiscount	dan	Rabat	date20041213	
LangTagFNFieldLocTotal	dan	I_alt	date20041213	
LangTagFNFieldLongVat	dan	Moms	date20041213	
LangTagFNFieldPayment	dan	betalingsform	date20041213	
LangTagFNFieldPaymentCharge	dan	Gebyr	date20041213	
LangTagFNFieldPID	dan	Ordrenummer	date20041213	
LangTagFNFieldPostage	dan	Leveringsomkostninger	date20041213	
LangTagFNFieldQuantity	dan	antal	date20041213	
LangTagFNFieldSender	dan	Afsender	date20041213	
LangTagFNFieldShippingAddressArea	dan	Leveringsomrade	date20041213	
LangTagFNFieldShortVat	dan	Moms	date20041213	
LangTagFNFieldTextItem	dan	vare	date20041213	
LangTagFNFieldTextUnitPrice	dan	Stykpris	date20041213	
LangTagFNFieldTotalPrice	dan	Pris_i_alt	date20041213	
LangTagAddress	dan	Adresse	date20041215	
LangTagEmailFormatText	dan	Tekst	date20041215	
LangTagName	dan	Navn	date20041215	
LangTagWeightUnit	dan	kg	date20041220	
